U+51A0: guān,guàn  #冠
U+51A2: zhǒng  #冢
U+51A4: yuān  #冤
U+51A5: míng,mián,miàn  #冥
U+51AC: dōng  #冬
U+51AE: gāng  #冮
U+51AF: féng,píng  #冯
U+51B0: bīng,níng  #冰
U+51B1: hù  #冱
U+51B2: chōng,chòng  #冲
U+51B3: jué  #决
U+51B5: kuàng  #况
U+51B6: yě  #冶
U+51B7: lěng,líng,lǐng  #冷
U+51BB: dòng  #冻
U+51BC: xiǎn,shěng  #冼
U+51BD: liè  #冽
U+51C0: jìng,chēng  #净
U+51C4: qī  #凄
U+51C6: zhǔn  #准
U+51C7: sōng  #凇
U+51C9: liáng,liàng  #凉
U+51CB: diāo  #凋
U+51CC: líng,lìng  #凌
U+51CF: jiǎn  #减
U+51D1: còu  #凑
U+51D3: lì  #凓
U+51D8: sī  #凘
U+51DB: lǐn  #凛
U+51DD: níng  #凝
U+51E0: jǐ,jī  #几
U+51E1: fán  #凡
U+51E4: fèng  #凤
U+51EB: fú  #凫
U+51ED: píng  #凭
U+51EF: kǎi  #凯
U+51F0: huáng  #凰
U+51F3: dèng  #凳
U+51F6: xiōng  #凶
U+51F8: tū  #凸
U+51F9: āo,wā  #凹
U+51FA: chū  #出
U+51FB: jī  #击
U+51FC: dàng  #凼
U+51FD: hán  #函
U+51FF: záo,zuò  #凿
U+5200: dāo,diāo  #刀
U+5201: diāo  #刁
U+5203: rèn  #刃
U+5206: fēn,fèn,fén  #分
U+5207: qiè,qiē,qì  #切
U+5208: yì  #刈
U+520A: kān  #刊
U+520D: chú  #刍
U+520E: wěn  #刎
U+5211: xíng  #刑
U+5212: huà,huá,guò,guǒ,huai  #划
U+5216: yuè  #刖
U+5217: liè,lì  #列
U+5218: liú  #刘
U+5219: zé  #则
U+521A: gāng  #刚
U+521B: chuàng,chuāng  #创
U+521D: chū  #初
U+5220: shān  #删
U+5224: pàn  #判
U+5228: páo,bào  #刨
U+5229: lì  #利
U+522B: bié,biè  #别
U+522C: chǎn,chàn  #刬
U+522D: jǐng  #刭
U+522E: guā  #刮
U+5230: dào  #到
U+5233: kū,kōu  #刳
U+5236: zhì  #制
U+5237: shuā,shuà  #刷
U+5238: quàn,xuàn  #券
U+5239: shā,chà  #刹
U+523A: cì,cī,qì  #刺
U+523B: kè,kēi  #刻
U+523D: guì  #刽
U+523F: guì  #刿
U+5240: kǎi  #剀
U+5241: duò  #剁
U+5242: jì  #剂
U+5243: tì  #剃
U+5245: lóu,dōu  #剅
U+524A: xuē,xiāo,qiào,shào  #削
U+524B: kè,kēi  #剋
U+524C: lá,là  #剌
U+524D: qián,jiǎn  #前
U+5250: guǎ  #剐
U+5251: jiàn  #剑
U+5254: tī,tì  #剔
U+5255: fèi  #剕
U+5256: pōu,pǒ  #剖
U+525C: wān  #剜
U+525E: jī  #剞
U+525F: duō,chì  #剟
U+5261: shàn,yǎn  #剡
U+5265: bō,bāo,pū  #剥
U+5267: jù  #剧
U+5269: shèng  #剩
U+526A: jiǎn  #剪
U+526F: fù,pì  #副
U+5272: gē  #割
U+527D: piāo,piào,piáo,biǎo,biāo  #剽
U+527F: jiǎo,chāo  #剿
U+5281: qiāo,qiáo  #劁
U+5282: jué  #劂
U+5284: zhā,zhá  #劄
U+5288: pī,pǐ  #劈
U+5290: huō,huò,huá  #劐
U+5293: yì  #劓
U+529B: lì  #力
U+529D: quàn  #劝
U+529E: bàn  #办
U+529F: gōng  #功
U+52A0: jiā  #加
U+52A1: wù  #务
U+52A2: mài  #劢
U+52A3: liè  #劣
U+52A8: dòng  #动
U+52A9: zhù,chú  #助
U+52AA: nǔ  #努
U+52AB: jié  #劫
U+52AC: qú  #劬
U+52AD: shào  #劭
U+52B1: lì  #励
U+52B2: jìn,jìng  #劲
U+52B3: láo  #劳
U+52BC: jié  #劼
U+52BE: hé,kài  #劾
U+52BF: shì  #势
U+52C3: bó  #勃
U+52C7: yǒng  #勇
U+52C9: miǎn  #勉
U+52CB: xūn  #勋
U+52CD: qíng  #勍
U+52D0: měng  #勐
U+52D2: lēi,lè,lei  #勒
U+52D4: miǎn  #勔
U+52D6: xù,mào  #勖
U+52D8: kān  #勘
U+52DA: yì  #勚
U+52DF: mù,bó  #募
U+52E0: lù  #勠
U+52E4: qín,qí  #勤
U+52F0: xié  #勰
U+52FA: sháo,shuò,zhuó,dì  #勺
U+52FE: gōu,gòu  #勾
U+52FF: wù,mò  #勿
U+5300: yún,jūn,yùn  #匀
U+5305: bāo,páo,fú  #包
U+5306: cōng  #匆
U+5308: xiōng  #匈
U+530D: pú  #匍
U+530F: páo  #匏
U+5310: fú  #匐
U+5315: bǐ,pìn  #匕
U+5316: huà,huā,huò  #化
U+5317: běi,bèi  #北
U+5319: shi,chí  #匙
U+531C: yí  #匜
U+531D: zā  #匝
U+5320: jiàng  #匠
U+5321: kuāng,wāng  #匡
U+5323: xiá  #匣
U+5326: guǐ  #匦
U+532A: fěi,fēi,fēn  #匪
U+532E: kuì,guì  #匮
U+5339: pǐ  #匹
U+533A: qū,ōu  #区
U+533B: yī,yì  #医
U+533C: kē,ē,ǎn  #匼
U+533E: biǎn  #匾
U+533F: nì,tè  #匿
U+5341: shí  #十
U+5343: qiān  #千
U+5345: sà  #卅
U+5347: shēng  #升
U+5348: wǔ  #午
U+5349: huì  #卉
U+534A: bàn,pàn  #半
U+534E: huá,huà,huā  #华
U+534F: xié  #协
U+5351: bēi,bǐ,bì,pí,bān  #卑
U+5352: zú,cù,cuì  #卒
U+5353: zhuó,zhuō  #卓
U+5355: dān,chán,shàn  #单
U+5356: mài  #卖
U+5357: nán,nā  #南
U+535A: bó  #博
U+535C: bo,bǔ,pū  #卜
U+535E: biàn,pán  #卞
U+535F: bǔ,jī  #卟
U+5360: zhàn,zhān,tiē  #占
U+5361: kǎ,qiǎ  #卡
U+5362: lú  #卢
U+5363: yǒu  #卣
U+5364: lǔ,xī  #卤
U+5366: guà  #卦
U+5367: wò  #卧
U+536B: wèi  #卫
U+536C: áng,yǎng  #卬
U+536E: zhī  #卮
U+536F: mǎo  #卯
U+5370: yìn,yì  #印
U+5371: wēi  #危
U+5373: jí  #即
U+5374: què  #却
U+5375: luǎn,kūn  #卵
U+5377: juǎn,juàn,quán,quān,gǔn,jùn  #卷
U+5378: xiè  #卸
U+537A: jǐn  #卺
U+537F: qīng  #卿
U+5382: chǎng,hǎn,yán,ān  #厂
U+5384: è,ě  #厄
U+5385: tīng  #厅
U+5386: lì  #历
U+5389: lì  #厉
U+538B: yā,yà  #压
U+538C: yàn  #厌
U+538D: shè  #厍
U+5395: cè,si  #厕
U+5396: páng,máng  #厖
U+5398: lí,chán  #厘
U+539A: hòu  #厚
U+539D: cuò,jí  #厝
U+539F: yuán  #原
U+53A2: xiāng  #厢
U+53A3: yǎn  #厣
U+53A5: jué  #厥
U+53A6: shà,xià  #厦
U+53A8: chú  #厨
U+53A9: jiù  #厩
U+53AE: sī  #厮
U+53BB: qù,qū  #去
U+53BE: dū,dǔ  #厾
U+53BF: xiàn  #县
U+53C1: sān  #叁
U+53C2: cān,cēn,shēn  #参
U+53C6: ài  #叆
U+53C7: dài  #叇
U+53C8: yòu  #又
U+53C9: chā,chá,chǎ,chà  #叉
U+53CA: jí  #及
U+53CB: yǒu  #友
U+53CC: shuāng  #双
U+53CD: fǎn,fàn  #反
U+53D1: fā,fà  #发
U+53D4: shū  #叔
U+53D5: zhuó,yǐ,lì,jué  #叕
U+53D6: qǔ,qū  #取
U+53D7: shòu,dào  #受
U+53D8: biàn  #变
U+53D9: xù  #叙
U+53DA: jiǎ,xiá  #叚
U+53DB: pàn  #叛
U+53DF: sǒu,sōu,xiāo  #叟
U+53E0: dié  #叠
U+53E3: kǒu  #口
U+53E4: gǔ,gù,kū  #古
U+53E5: jù,gōu,gòu,qú  #句
U+53E6: lìng  #另
U+53E8: dāo,dáo,tāo  #叨
U+53E9: kòu  #叩
U+53EA: zhǐ,zhī  #只
U+53EB: jiào  #叫
U+53EC: zhào,shào  #召
U+53ED: bā,pā,ba  #叭
U+53EE: dīng  #叮
U+53EF: kě,kè,gē  #可
U+53F0: tái,tāi,yí,sì  #台
U+53F1: chì,huà,é  #叱
U+53F2: shǐ  #史
U+53F3: yòu  #右
U+53F5: pǒ  #叵
U+53F6: yè,xié  #叶
U+53F7: hào,háo,xiāo  #号
U+53F8: sī,cí,sì  #司
U+53F9: tàn,yǐ,yòu  #叹
U+53FB: lè,lì  #叻
U+53FC: diāo  #叼
U+53FD: jī,jiào  #叽
U+5401: xū,yū,yù  #吁
U+5403: chī,qī  #吃
U+5404: gè,gě  #各
U+5406: yāo  #吆
U+5408: hé,gě  #合
U+5409: jí  #吉
U+540A: diào  #吊
U+540C: tóng,tòng  #同
U+540D: míng,mìng  #名
U+540E: hòu  #后
U+540F: lì  #吏
U+5410: tǔ,tù  #吐
U+5411: xiàng  #向
U+5412: zhā,zhà  #吒
U+5413: xià,hè,hà  #吓
U+5415: lǚ  #吕
U+5416: yā,ā  #吖
U+5417: ma,má,mǎ  #吗
U+541B: jūn  #君
U+541D: lìn  #吝
U+541E: tūn,tiān  #吞
U+541F: yín,yǐn,jìn  #吟
U+5420: fèi  #吠
U+5421: bǐ,bì,pǐ  #吡
U+5423: qìn  #吣
U+5426: fǒu,pǐ  #否
U+5427: ba,bā,pā  #吧
U+5428: dūn,tún,tǔn  #吨
U+5429: fēn,pèn  #吩
U+542B: hán,hàn  #含
U+542C: tīng,yǐn,yí  #听
U+542D: kēng,háng,hàng  #吭
U+542E: shǔn  #吮
U+542F: qǐ  #启
U+5431: zhī,zī,qì  #吱
U+5432: yǐn,shěn  #吲
U+5434: wú,tūn  #吴
U+5435: chǎo,chāo,miǎo,chào  #吵
U+5438: xī  #吸
U+5439: chuī,chuì  #吹
U+543B: wěn  #吻
U+543C: hǒu  #吼
U+543D: hōng,ōu,hǒu  #吽
U+543E: wú,yú,yá  #吾
U+5440: ya,yā,xiā  #呀
U+5443: è,e,ài  #呃
U+5446: dāi,bǎo,ái  #呆
U+5447: qǐ,mèn  #呇
U+5448: chéng,kuáng,chěng  #呈
U+544A: gào,jū,gù  #告
U+544B: fū  #呋
U+5450: nà,nè,na,nuò,ne  #呐
U+5452: wǔ,ḿ  #呒
U+5453: yì  #呓
U+5454: dāi,tǎi  #呔
U+5455: ǒu,ōu,òu  #呕
U+5456: lì  #呖
U+5457: bei,bài  #呗
U+5458: yuán,yùn,yún  #员
U+5459: guō  #呙
U+545B: qiāng,qiàng  #呛
U+545C: wū  #呜
U+5462: ne,ní,nǐ,nī  #呢
U+5463: ḿ,m̀,móu  #呣
U+5464: lìng,líng  #呤
U+5466: yōu  #呦
U+5468: zhōu  #周
U+5471: gū,guā,guǎ  #呱
U+5472: cī,cí,zī  #呲
U+5473: wèi,mèi  #味
U+5475: hē,hā,ā,a,kē,huō,á,ǎ,à  #呵
U+5476: náo,ná,nǔ  #呶
U+5477: gā,xiā,xiá,jiǎ  #呷
U+5478: pēi  #呸
U+547B: shēn  #呻
U+547C: hū,xiāo,xū,hè,xià  #呼
U+547D: mìng  #命
U+5480: jǔ,zuǐ  #咀
U+5482: zā  #咂
U+5484: duō  #咄
U+5486: páo  #咆
U+5487: bié,bì  #咇
U+5489: yāng,yǎng  #咉
U+548B: zǎ,zé,zhā,zhà  #咋
U+548C: hé,hè,hú,huó,huò,huo  #和
U+548D: hāi,tāi  #咍
U+548E: jiù,gāo  #咎
U+548F: yǒng  #咏
U+5490: fù,fú  #咐
U+5492: zhòu  #咒
U+5494: kā,kǎ,nòng  #咔
