# Table of General Standard Chinese Characters mapped to Unicode
index number	codepoint
1072	U+864F
1073	U+80BE
1074	U+8D24
1075	U+5C1A
1076	U+65FA
1077	U+5177
1078	U+5473
1079	U+679C
1080	U+6606
1081	U+56FD
1082	U+54CE
1083	U+5495
1084	U+660C
1085	U+5475
1086	U+7545
1087	U+660E
1088	U+6613
1089	U+5499
1090	U+6602
1091	U+8FEA
1092	U+5178
1093	U+56FA
1094	U+5FE0
1095	U+547B
1096	U+5492
1097	U+548B
1098	U+5490
1099	U+547C
1100	U+9E23
1101	U+548F
1102	U+5462
1103	U+5484
1104	U+5496
1105	U+5CB8
1106	U+5CA9
1107	U+5E16
1108	U+7F57
1109	U+5E1C
1110	U+5E15
1111	U+5CAD
1112	U+51EF
1113	U+8D25
1114	U+8D26
1115	U+8D29
1116	U+8D2C
1117	U+8D2D
1118	U+8D2E
1119	U+56FE
1120	U+9493
1121	U+5236
1122	U+77E5
1123	U+8FED
1124	U+6C1B
1125	U+5782
1126	U+7267
1127	U+7269
1128	U+4E56
1129	U+522E
1130	U+79C6
1131	U+548C
1132	U+5B63
1133	U+59D4
1134	U+79C9
1135	U+4F73
1136	U+4F8D
1137	U+5CB3
1138	U+4F9B
1139	U+4F7F
1140	U+4F8B
1141	U+4FA0
1142	U+4FA5
1143	U+7248
1144	U+4F84
1145	U+4FA6
1146	U+4FA3
1147	U+4FA7
1148	U+51ED
1149	U+4FA8
1150	U+4F69
1151	U+8D27
1152	U+4F88
1153	U+4F9D
1154	U+5351
1155	U+7684
1156	U+8FEB
1157	U+8D28
1158	U+6B23
1159	U+5F81
1160	U+5F80
1161	U+722C
1162	U+5F7C
1163	U+5F84
1164	U+6240
1165	U+820D
1166	U+91D1
1167	U+5239
1168	U+547D
1169	U+80B4
1170	U+65A7
1171	U+7238
1172	U+91C7
1173	U+89C5
1174	U+53D7
1175	U+4E73
1176	U+8D2A
1177	U+5FF5
1178	U+8D2B
1179	U+5FFF
1180	U+80A4
1181	U+80BA
1182	U+80A2
1183	U+80BF
1184	U+80C0
1185	U+670B
1186	U+80A1
1187	U+80AE
1188	U+80AA
1189	U+80A5
1190	U+670D
1191	U+80C1
1192	U+5468
1193	U+660F
1194	U+9C7C
1195	U+5154
1196	U+72D0
1197	U+5FFD
1198	U+72D7
1199	U+72DE
1200	U+5907
1201	U+9970
1202	U+9971
1203	U+9972
1204	U+53D8
1205	U+4EAC
1206	U+4EAB
1207	U+5E9E
1208	U+5E97
1209	U+591C
1210	U+5E99
1211	U+5E9C
1212	U+5E95
1213	U+759F
1214	U+7599
1215	U+759A
1216	U+5242
1217	U+5352
1218	U+90CA
1219	U+5E9A
1220	U+5E9F
1221	U+51C0
1222	U+76F2
1223	U+653E
1224	U+523B
1225	U+80B2
1226	U+6C13
1227	U+95F8
1228	U+95F9
1229	U+90D1
1230	U+5238
1231	U+5377
1232	U+5355
1233	U+70AC
1234	U+7092
1235	U+708A
1236	U+7095
1237	U+708E
1238	U+7089
1239	U+6CAB
1240	U+6D45
1241	U+6CD5
1242	U+6CC4
1243	U+6CBD
1244	U+6CB3
1245	U+6CBE
1246	U+6CEA
1247	U+6CAE
1248	U+6CB9
1249	U+6CCA
1250	U+6CBF
1251	U+6CE1
1252	U+6CE8
1253	U+6CE3
1254	U+6CDE
1255	U+6CFB
1256	U+6CCC
1257	U+6CF3
1258	U+6CE5
1259	U+6CB8
1260	U+6CBC
1261	U+6CE2
1262	U+6CFC
1263	U+6CFD
1264	U+6CBB
1265	U+6014
1266	U+602F
1267	U+6016
1268	U+6027
1269	U+6015
1270	U+601C
1271	U+602A
1272	U+6021
1273	U+5B66
1274	U+5B9D
1275	U+5B97
1276	U+5B9A
1277	U+5BA0
1278	U+5B9C
1279	U+5BA1
1280	U+5B99
1281	U+5B98
1282	U+7A7A
1283	U+5E18
1284	U+5B9B
1285	U+5B9E
1286	U+8BD5
1287	U+90CE
1288	U+8BD7
1289	U+80A9
1290	U+623F
1291	U+8BDA
1292	U+886C
1293	U+886B
1294	U+89C6
1295	U+7948
1296	U+8BDD
1297	U+8BDE
1298	U+8BE1
1299	U+8BE2
1300	U+8BE5
1301	U+8BE6
1302	U+5EFA
1303	U+8083
1304	U+5F55
1305	U+96B6
1306	U+5E1A
1307	U+5C49
1308	U+5C45
1309	U+5C4A
1310	U+5237
1311	U+5C48
1312	U+5F27
1313	U+5F25
1314	U+5F26
1315	U+627F
1316	U+5B5F
1317	U+964B
1318	U+964C
1319	U+5B64
1320	U+9655
1321	U+964D
1322	U+51FD
1323	U+9650
1324	U+59B9
1325	U+59D1
1326	U+59D0
1327	U+59D3
1328	U+59AE
1329	U+59CB
1330	U+59C6
1331	U+8FE2
1332	U+9A7E
1333	U+53C1
1334	U+53C2
1335	U+8270
1336	U+7EBF
1337	U+7EC3
1338	U+7EC4
1339	U+7EC5
1340	U+7EC6
1341	U+9A76
1342	U+7EC7
1343	U+9A79
1344	U+7EC8
1345	U+9A7B
1346	U+7ECA
1347	U+9A7C
1348	U+7ECD
1349	U+7ECE
1350	U+7ECF
1351	U+8D2F
1352	U+5951
1353	U+8D30
1354	U+594F
1355	U+6625
1356	U+5E2E
1357	U+73B7
1358	U+73CD
1359	U+73B2
1360	U+73CA
1361	U+73BB
1362	U+6BD2
1363	U+578B
1364	U+62ED
1365	U+6302
1366	U+5C01
1367	U+6301
1368	U+62F7
1369	U+62F1
1370	U+9879
1371	U+57AE
1372	U+630E
1373	U+57CE
1374	U+631F
1375	U+6320
1376	U+653F
1377	U+8D74
1378	U+8D75
1379	U+6321
1380	U+62FD
1381	U+54C9
1382	U+633A
1383	U+62EC
1384	U+57A2
1385	U+62F4
1386	U+62FE
1387	U+6311
1388	U+579B
1389	U+6307
1390	U+57AB
1391	U+6323
1392	U+6324
1393	U+62FC
1394	U+6316
1395	U+6309
1396	U+6325
1397	U+632A
1398	U+62EF
1399	U+67D0
1400	U+751A
1401	U+8346
1402	U+8338
1403	U+9769
1404	U+832C
1405	U+8350
1406	U+5DF7
1407	U+5E26
1408	U+8349
1409	U+8327
1410	U+8335
1411	U+8336
1412	U+8352
1413	U+832B
1414	U+8361
1415	U+8363
1416	U+8364
1417	U+8367
1418	U+6545
1419	U+80E1
1420	U+836B
1421	U+8354
1422	U+5357
1423	U+836F
1424	U+6807
1425	U+6808
1426	U+67D1
1427	U+67AF
1428	U+67C4
1429	U+680B
1430	U+76F8
1431	U+67E5
1432	U+67CF
1433	U+6805
1434	U+67F3
1435	U+67F1
1436	U+67FF
1437	U+680F
1438	U+67E0
1439	U+6811
1440	U+52C3
1441	U+8981
1442	U+67EC
1443	U+54B8
1444	U+5A01
1445	U+6B6A
1446	U+7814
1447	U+7816
1448	U+5398
1449	U+539A
1450	U+780C
1451	U+7802
1452	U+6CF5
1453	U+781A
1454	U+780D
1455	U+9762
1456	U+8010
1457	U+800D
1458	U+7275
1459	U+9E25
1460	U+6B8B
1461	U+6B83
1462	U+8F74
1463	U+8F7B
1464	U+9E26
1465	U+7686
1466	U+97ED
1467	U+80CC
1468	U+6218
1469	U+70B9
1470	U+8650
1471	U+4E34
1472	U+89C8
1473	U+7AD6
1474	U+7701
1475	U+524A
1476	U+5C1D
1477	U+6627
1478	U+76F9
1479	U+662F
1480	U+76FC
1481	U+7728
1482	U+54C7
1483	U+54C4
1484	U+54D1
1485	U+663E
1486	U+5192
1487	U+6620
1488	U+661F
1489	U+6628
1490	U+54A7
1491	U+662D
1492	U+754F
1493	U+8DB4
1494	U+80C3
1495	U+8D35
1496	U+754C
1497	U+8679
1498	U+867E
1499	U+8681
1500	U+601D
1501	U+8682
1502	U+867D
1503	U+54C1
1504	U+54BD
1505	U+9A82
1506	U+52CB
1507	U+54D7
1508	U+54B1
1509	U+54CD
1510	U+54C8
1511	U+54C6
1512	U+54AC
1513	U+54B3
1514	U+54AA
1515	U+54EA
1516	U+54DF
1517	U+70AD
1518	U+5CE1
1519	U+7F5A
1520	U+8D31
1521	U+8D34
1522	U+8D3B
1523	U+9AA8
1524	U+5E7D
1525	U+9499
1526	U+949D
1527	U+949E
1528	U+949F
1529	U+94A2
1530	U+94A0
1531	U+94A5
1532	U+94A6
1533	U+94A7
1534	U+94A9
1535	U+94AE
1536	U+5378
1537	U+7F38
1538	U+62DC
1539	U+770B
1540	U+77E9
1541	U+6BE1
1542	U+6C22
1543	U+600E
1544	U+7272
1545	U+9009
1546	U+9002
1547	U+79D2
1548	U+9999
1549	U+79CD
1550	U+79CB
1551	U+79D1
1552	U+91CD
1553	U+590D
1554	U+7AFF
1555	U+6BB5
1556	U+4FBF
1557	U+4FE9
1558	U+8D37
1559	U+987A
1560	U+4FEE
1561	U+4FCF
1562	U+4FDD
1563	U+4FC3
1564	U+4FC4
1565	U+4FD0
1566	U+4FAE
1567	U+4FED
1568	U+4FD7
